Lead, pb
Thallium, tl
Lutetium, lu
Thulium, tm
Americium, am
Livermorium, lv
Samarium, sm
Flerovium, fl
Palladium, pd
Chlorine, cl
Phosphorus, p
Bismuth, bi
Radon, rn
Tantalum, ta
Magnesium, mg
Fermium, fm
Krypton, kr
Copper, cu
Aluminium, al
Rhenium, re
Neon, ne
Lawrencium, lr
Gadolinium, gd
Nitrogen, n
Platinum, pt
Sodium, na
Sulfur, s
Rhodium, rh
Yttrium, y
Nickel, ni
Oxygen, o
Barium, ba
Thorium, th
Bromine, br
Ununseptium, uus
Protactinium, pa
Einsteinium, es
Rutherfordium, rf
Francium, fr
Erbium, er
Silicon, si
Manganese, mn
Indium, in
Rubidium, rb
Radium, ra
Curium, cm
Ununoctium, uuo
Germanium, ge
Titanium, ti
Arsenic, as
Helium, he
Neodymium, nd
Mendelevium, md
Antimony, sb
Europium, eu
Iron, fe
Seaborgium, sg
Nobelium, no
Cerium, ce
Osmium, os
Copernicium, cn
Beryllium, be
Polonium, po
Ruthenium, ru
Potassium, k
Dubnium, db
Argon, ar
Darmstadtium, ds
Scandium, sc
Carbon, c
Neptunium, np
Lanthanum, la
Uranium, u
Zirconium, zr
Niobium, nb
Calcium, ca
Iridium, ir
Cesium, cs
Plutonium, pu
Gold, au
Ununtrium, uut
Cobalt, co
Praseodymium, pr
Zinc, zn
Berkelium, bk
Roentgenium, rg
Chromium, cr
Fluorine, f
Hafnium, hf
Selenium, se
Technetium, tc
Meitnerium, mt
Tin, sn
Terbium, tb
Actinium, ac
Holmium, ho
Californium, cf
Lithium, li
Ununpentium, uup
Vanadium, v
Bohrium, bh
Hassium, hs
Strontium, sr
Cadmium, cd
Boron, b
Tungsten, w
Silver, ag
Promethium, pm
Ytterbium, yb
Molybdenum, mo
Gallium, ga
Tellurium, te
Xenon, xe
Mercury, hg
Dysprosium, dy
Iodine, i
Hydrogen, h
Astatine, at
